,证券代码,证券简称,信用评级,评级类型,评估机构,债项评级时间,投资等级,等级含义
137,041159010.IB,11重汽CP002,A-1,短期信用评级,联合资信评估有限公司,20110915,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
138,041159014.IB,11苏汇鸿CP002,A-1,短期信用评级,联合资信评估有限公司,20111012,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
139,041159014.IB,11苏汇鸿CP002,A-1,短期信用评级,联合资信评估有限公司,20120905,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
140,041159015.IB,11盾安CP001,A-1,短期信用评级,联合资信评估有限公司,20110919,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
141,041159016.IB,11丝绸CP002,A-1,短期信用评级,联合资信评估有限公司,20111014,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
142,041159017.IB,11同方CP002,A-1,短期信用评级,联合资信评估有限公司,20111025,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
143,041159017.IB,11同方CP002,A-1,短期信用评级,联合资信评估有限公司,20120831,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
144,041158006.IB,11江西赛维CP001,A-2,短期信用评级,上海新世纪资信评估投资服务有限公司,20120926,投资级,还本付息能力较强，安全性较高。
145,011599401.IB,15龙控SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20150623,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
146,011599681.IB,15龙控SCP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20151023,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
147,011698051.IB,16粤垦投资SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20160307,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
148,011698051.IB,16粤垦投资SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20170106,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
149,011699987.IB,16南京化工SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20160118,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
150,011699987.IB,16南京化工SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20161222,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
151,011764074.IB,17兵团六师CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20170711,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
152,011764074.IB,17兵团六师CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20180122,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
153,011800217.IB,18永达SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20180205,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
154,041152006.IB,11万宝CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110616,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
155,041152006.IB,11万宝CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120820,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
156,041152016.IB,11南方水泥CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110610,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
157,041152016.IB,11南方水泥CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120709,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
158,041153009.IB,11东莞海龙CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110906,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
159,041153009.IB,11东莞海龙CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120718,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
160,041153010.IB,11宁交通CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111108,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
161,041153010.IB,11宁交通CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120716,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
162,041154001.IB,11志高CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110401,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
163,041154001.IB,11志高CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120606,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
164,041154004.IB,11沪电气CP003,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110825,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
165,041154004.IB,11沪电气CP003,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120227,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
166,041154011.IB,11大唐潮州CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110920,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
167,041154011.IB,11大唐潮州CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120625,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
168,041155003.IB,11沪城投CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111019,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
169,041155003.IB,11沪城投CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120605,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
170,041158002.IB,11中外运CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110610,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
171,041158002.IB,11中外运CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120619,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
172,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110411,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
173,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120629,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
174,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120831,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
175,041158012.IB,11上海港CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111010,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
176,041158012.IB,11上海港CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120428,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
177,041158014.IB,11龙盛CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110927,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
178,041158014.IB,11龙盛CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120806,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
179,041158016.IB,11广汇汽车CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111018,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
180,041158016.IB,11广汇汽车CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120607,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
181,041158019.IB,11超导CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111107,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
182,041158019.IB,11超导CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120626,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
183,041158022.IB,11铁二十五CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111109,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
184,041158022.IB,11铁二十五CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120711,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
185,041158024.IB,11久立CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110831,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
186,041158024.IB,11久立CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120724,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
187,041159008.IB,11中利科技CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110411,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
188,041159008.IB,11中利科技CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120413,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
189,041158011.IB,11新中基CP001,B,短期信用评级,中诚信国际信用评级有限责任公司,20121011,投机级,还本付息能力较低，有一定的违约风险。
190,011216001.IB,12华电股SCP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120618,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
191,011216002.IB,12华电股SCP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120918,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
192,011599020.IB,15梅花SCP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20150120,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
193,041151003.IB,11瓮福CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110907,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
194,041151003.IB,11瓮福CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120614,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
195,041151005.IB,11联通CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110923,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
196,041151005.IB,11联通CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120621,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
197,041151006.IB,11华电股CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110914,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
198,041151006.IB,11华电股CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120515,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
199,041151007.IB,11中铁建CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110804,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
200,041151007.IB,11中铁建CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120828,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
201,041151009.IB,11鞍钢CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111018,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
202,041151009.IB,11鞍钢CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120720,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
203,041151012.IB,11桂旅游CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111025,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
204,041151012.IB,11桂旅游CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120613,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
205,041151013.IB,11八钢CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111111,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
206,041151013.IB,11八钢CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120731,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
207,041152002.IB,11北医药CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110517,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
208,041152002.IB,11北医药CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111229,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
209,041152003.IB,11二重CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110905,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
210,041152003.IB,11二重CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120530,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
211,041152015.IB,11新希望CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111012,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
212,041152015.IB,11新希望CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120419,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
213,041153002.IB,11华能CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110707,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
214,041153002.IB,11华能CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120629,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
215,041153003.IB,11武钢CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110906,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
216,041153003.IB,11武钢CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111017,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
217,041153003.IB,11武钢CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120702,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
218,041153004.IB,11皖山鹰CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110725,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
219,041153004.IB,11皖山鹰CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120427,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
220,041153007.IB,11辽通CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111108,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
221,041153007.IB,11辽通CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120528,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
222,041154002.IB,11长电CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110831,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
223,041154002.IB,11长电CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111122,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
224,041154002.IB,11长电CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120820,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
225,041154009.IB,11闽投CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111019,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
226,041154009.IB,11闽投CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120604,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
227,041154014.IB,11铁二股CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110811,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
228,041154014.IB,11铁二股CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120427,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
229,041154015.IB,11闽建工CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111110,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
230,041154015.IB,11闽建工CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120612,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
231,041156003.IB,11TCL集CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110516,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
232,041156007.IB,11粤中旅CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110425,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
233,041156007.IB,11粤中旅CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120621,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
234,041156009.IB,11开滦CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111020,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
235,041156009.IB,11开滦CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120525,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
236,041156010.IB,11国开投CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110907,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
237,041156010.IB,11国开投CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120629,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
238,041158001.IB,11南玻CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110705,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
239,041158001.IB,11南玻CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120727,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
240,041158005.IB,11康缘集CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110516,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
241,041158005.IB,11康缘集CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120629,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
242,041158009.IB,11宁交投CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110927,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
243,041158009.IB,11宁交投CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120618,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
244,041158010.IB,11巨化CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110523,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
245,041158010.IB,11巨化CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120514,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
246,041158011.IB,11新中基CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110916,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
247,041158011.IB,11新中基CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120507,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
248,041158015.IB,11华谊兄弟CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110923,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
249,041158015.IB,11华谊兄弟CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20121115,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
250,041158017.IB,11粤海CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111012,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
251,041158017.IB,11粤海CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120718,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
252,041158018.IB,11大国际CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111108,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
253,041158018.IB,11大国际CP002,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120515,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
254,041158020.IB,11江山股份CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110916,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
255,041158020.IB,11江山股份CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120627,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
256,041158021.IB,11岱海CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111129,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
257,041158021.IB,11岱海CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120626,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
258,041159002.IB,11清控CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110601,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
259,041159002.IB,11清控CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120112,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
260,041159002.IB,11清控CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120627,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
261,041159003.IB,11北电CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110715,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
262,041159003.IB,11北电CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120627,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
263,041159004.IB,11铁十九CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110826,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
264,041159004.IB,11铁十九CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120626,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
265,041159005.IB,11闽能源CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110616,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
266,041159005.IB,11闽能源CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120314,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
267,041159009.IB,11北车CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110913,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
268,041159009.IB,11北车CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20111026,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
269,041159009.IB,11北车CP003,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120615,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
270,041159012.IB,11九州通CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20110519,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
271,041159012.IB,11九州通CP001,A-1,短期信用评级,中诚信国际信用评级有限责任公司,20120807,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高
272,031490253.IB,14永煤PPN001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,20140630,投资级,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
