,债券唯一标识(年份-季度-证券代码),债券评级发布时间(中诚信国际信用评级有限责任公司),债券评级评级类型(中诚信国际信用评级有限责任公司),债券评级信用等级(中诚信国际信用评级有限责任公司),债券评级评估机构(中诚信国际信用评级有限责任公司),债券评级投资等级(中诚信国际信用评级有限责任公司),债券评级等级含义(中诚信国际信用评级有限责任公司),债券评级发布时间(联合资信评估有限公司),债券评级评级类型(联合资信评估有限公司),债券评级信用等级(联合资信评估有限公司),债券评级评估机构(联合资信评估有限公司),债券评级投资等级(联合资信评估有限公司),债券评级等级含义(联合资信评估有限公司),债券评级发布时间(大公国际资信评估有限公司),债券评级评级类型(大公国际资信评估有限公司),债券评级信用等级(大公国际资信评估有限公司),债券评级评估机构(大公国际资信评估有限公司),债券评级投资等级(大公国际资信评估有限公司),债券评级等级含义(大公国际资信评估有限公司),债券评级发布时间(上海新世纪资信评估投资服务有限公司),债券评级评级类型(上海新世纪资信评估投资服务有限公司),债券评级信用等级(上海新世纪资信评估投资服务有限公司),债券评级评估机构(上海新世纪资信评估投资服务有限公司),债券评级投资等级(上海新世纪资信评估投资服务有限公司),债券评级等级含义(上海新世纪资信评估投资服务有限公司),债券评级发布时间(东方金诚国际信用评估有限公司),债券评级评级类型(东方金诚国际信用评估有限公司),债券评级信用等级(东方金诚国际信用评估有限公司),债券评级评估机构(东方金诚国际信用评估有限公司),债券评级投资等级(东方金诚国际信用评估有限公司),债券评级等级含义(东方金诚国际信用评估有限公司)
86,2011-4-041158019.IB,,,,,,,,,,,,,,,,,,,20111107,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
87,2012-2-041158008.IB,,,,,,,,,,,,,20120627,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
88,2012-1-041159002.IB,20120112,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
89,2011-3-041159003.IB,20110715,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
90,2011-2-041156003.IB,20110516,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
91,2012-2-041158003.IB,,,,,,,,,,,,,20120629,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
92,2012-2-041159013.IB,,,,,,,,,,,,,20120626,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
93,2011-3-041156012.IB,,,,,,,20110921,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
94,2016-4-011699987.IB,,,,,,,,,,,,,,,,,,,20161222,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
95,2011-2-041156007.IB,20110425,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
96,2011-2-041159005.IB,20110616,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
97,2018-3-011801375.IB,,,,,,,20180723,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
98,2011-4-041153010.IB,,,,,,,,,,,,,,,,,,,20111108,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
99,2012-3-041158024.IB,,,,,,,,,,,,,,,,,,,20120724,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
100,2014-4-011434001.IB,,,,,,,,,,,,,20141021,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
101,2011-3-041153003.IB,20110906,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
102,2018-3-011800709.IB,,,,,,,,,,,,,,,,,,,,,,,,,20180710,短期信用评级,A-1,东方金诚国际信用评估有限公司,投资级,还本付息能力最强，安全性高 
103,2011-2-041156004.IB,,,,,,,,,,,,,20110513,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
104,2013-1-011319003.IB,,,,,,,,,,,,,20130329,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
105,2011-4-041158016.IB,,,,,,,,,,,,,,,,,,,20111018,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
106,2012-3-041152011.IB,,,,,,,20120920,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
107,2012-4-041156013.IB,,,,,,,20121221,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
108,2011-4-041158027.IB,,,,,,,20111223,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
109,2012-3-041151007.IB,20120828,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
110,2018-3-031800397.IB,,,,,,,,,,,,,20180706,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
111,2012-3-041159006.IB,,,,,,,20120831,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
112,2012-2-041158007.IB,,,,,,,,,,,,,20120625,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
113,2011-2-041159008.IB,,,,,,,,,,,,,,,,,,,20110411,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
114,2011-2-041156005.IB,,,,,,,,,,,,,20110506,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
115,2012-2-041151011.IB,,,,,,,20120629,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
116,2012-3-041154017.IB,,,,,,,20120813,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
117,2012-2-041153011.IB,,,,,,,,,,,,,20120621,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
118,2011-3-041151010.IB,,,,,,,20110830,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
119,2011-4-041152019.IB,,,,,,,20111206,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
120,2011-2-041159002.IB,20110601,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
121,2011-2-041154008.IB,,,,,,,20110504,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
122,2011-2-041152008.IB,,,,,,,20110615,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
123,2011-2-041159012.IB,20110519,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
124,2017-1-011753022.IB,,,,,,,,,,,,,20170301,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
125,2012-2-041156005.IB,,,,,,,,,,,,,20120523,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
126,2012-2-041158016.IB,,,,,,,,,,,,,,,,,,,20120607,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
127,2011-4-041151009.IB,20111018,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
128,2012-2-041158005.IB,20120629,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
129,2011-4-041152002.IB,20111229,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
130,2017-3-011762087.IB,,,,,,,,,,,,,20170807,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
131,2012-2-041154010.IB,,,,,,,20120615,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
132,2011-4-041154013.IB,,,,,,,20111014,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
133,2011-3-041152009.IB,,,,,,,20110908,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
134,2012-2-041152009.IB,,,,,,,20120423,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
135,2011-4-041153007.IB,20111108,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
136,2011-2-041156001.IB,,,,,,,,,,,,,20110616,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
137,2012-3-041158001.IB,20120727,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
138,2011-3-041158004.IB,,,,,,,,,,,,,20110715,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
139,2011-4-041153006.IB,,,,,,,20111020,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
140,2011-3-041159015.IB,,,,,,,20110919,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
141,2011-3-041154002.IB,20110831,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
142,2011-3-041159004.IB,20110826,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
143,2011-4-041156013.IB,,,,,,,20111117,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
144,2011-2-041152014.IB,,,,,,,,,,,,,20110530,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
145,2013-4-011319004.IB,,,,,,,,,,,,,20131121,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
146,2013-1-011234001.IB,,,,,,,,,,,,,20130318,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
147,2011-3-041154016.IB,,,,,,,20110919,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
148,2014-2-011434001.IB,,,,,,,,,,,,,20140430,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
149,2011-3-041151006.IB,20110914,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
150,2012-4-041154016.IB,,,,,,,20121012,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
151,2011-3-041158020.IB,20110916,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
152,2018-2-011800709.IB,,,,,,,,,,,,,,,,,,,,,,,,,20180409,短期信用评级,A-1,东方金诚国际信用评估有限公司,投资级,还本付息能力最强，安全性高 
153,2012-2-041153002.IB,20120629,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
154,2011-2-041155001.IB,,,,,,,20110525,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
155,2011-4-041154002.IB,20111122,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
156,2012-2-041155003.IB,,,,,,,,,,,,,,,,,,,20120605,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
157,2012-2-041158013.IB,,,,,,,,,,,,,20120621,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
158,2012-3-041159017.IB,,,,,,,20120831,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
159,2011-2-041152006.IB,,,,,,,,,,,,,,,,,,,20110616,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
160,2012-3-041158017.IB,20120718,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
161,2011-4-041158022.IB,,,,,,,,,,,,,,,,,,,20111109,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
162,2011-4-041158008.IB,,,,,,,,,,,,,20111014,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
163,2011-3-041154011.IB,,,,,,,,,,,,,,,,,,,20110920,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
164,2012-3-041153005.IB,,,,,,,20120925,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
165,2011-2-041158003.IB,,,,,,,,,,,,,20110520,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
166,2011-4-041153011.IB,,,,,,,,,,,,,20111117,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
167,2011-3-041156010.IB,20110907,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
168,2011-3-041156011.IB,,,,,,,20110823,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
169,2011-3-041151004.IB,,,,,,,20110913,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
170,2012-2-041156007.IB,20120621,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
171,2011-4-041155003.IB,,,,,,,,,,,,,,,,,,,20111019,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
172,2012-2-041151005.IB,20120621,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
173,2011-4-041152011.IB,,,,,,,20111028,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
174,2012-2-041152017.IB,,,,,,,20120504,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
175,2015-2-011599401.IB,,,,,,,,,,,,,,,,,,,20150623,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
176,2011-3-041153004.IB,20110725,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
177,2012-2-041154018.IB,,,,,,,,,,,,,20120615,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
178,2011-4-041158023.IB,,,,,,,20111117,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
